VENDOR_SITE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,ADDRESS_LINE4,CITY,STATE,COUNTRY,ZIP
"Shangduo (China","Zhiguang Industrial Zone",,,,Wenzhou,,CN,325604
"Qingyue (China)","Weipan Industrial Zone",,,,Wenzhou,,CN,325604
"MCS Progress US","7100 CARVED STONE",,,,COLUMBIA,MD,US,21045
"Eiffage (UK)","3342 Union Way",,,,London,England,GB,"SE1 9DT"
"Eiffage (USA)","9940 Lander Way",,,,Springfield,MA,US,01102
北京总部,????8???????A?,,,,"Chaoyang Qu",,CN,
"HQ - Milano","Corso Buenos Aires",,,,Milano,,IT,20100
"HQ - Fabriano","Viale Aristide Merloni n. 47",,,,Fabriano,,IT,60044
"Medtronic HC","710 Medtronic Parkway",,,,Minneapolis,MN,US,55432
"Cardinal HC PAY","PO BOX 1200",,,,Dublin,OH,US,43017
"Lee Healthcare","3200 Fairlawn",,,,"La Canada",CA,US,91011
"FS Univ US","2100 Angeles Crest ",,,,"La Canada",CA,US,91011
"Windsor (France","321 Rue de Palace",,,,Paris,,FR,75002
"EIP Progress US","6711 RITCHIE HWY",,,,"GLEN BURNIE",MD,US,21061
"OD Progress US","3702 PENDER DR",,,,FAIRFAX,VA,US,22030
"MK Supplies (Ch","No. 8, Jinping rd., Henan Industrial Zone, Jinxia Village, Chang'an Town",,,,Dongguan,,CN,523852
"TAX PAYMENTS","INTERNAL REVENUE SERV.","PO BOX 804522",,,CINCINNATI,OH,US,45280
"IRS Univ US","INTERNAL REVENUE SERV.","PO BOX 804522",,,CINCINNATI,OH,US,45280
"TAX PAYMENTS","INTERNAL REVENUE SERV.","PO BOX 804522",,,CINCINNATI,OH,US,45280
"Prog US Tax","INTERNAL REVENUE SERV.","PO BOX 804522",,,CINCINNATI,OH,US,45280
"TAX PAYMENTS","INTERNAL REVENUE SERV.","PO BOX 804522",,,CINCINNATI,OH,US,45280
"AC Netherlands","Molukkenstraat 101a",,,,Amsterdam,,NL,"1095 AZ"
"CDW Healthcare","532 Lake St",,,,"Los Angeles",CA,US,90001
"Dell Australia","101 Collins St",,,,Melbourne,Victoria,AU,3000
"HQ-Juan Asesor","Av Colmenar Viejo, 15, 2º, A","Tres Cantos",,,Madrid,,ES,28760
"Dell Netherland","Turfstekerstraat 15",,,,"GD Aalsmeer",,NL,1431
"GFS US1","1 Glenlake Pkwy",,,,Atlanta,GA,US,30328
"Dell US INS","999 Greenlawn Blvd",,,,"Round Rock",TX,US,78664
"InterChina US1","No. 1 Jian Guo Men Wai Da Jie","China World Trade Center Tower 2",,,,,CN,100004
"InterChina FR","No. 1 Jian Guo Men Wai Da Jie","China World Trade Center Tower 2",,,,,CN,100004
"InterChina UK","No. 1 Jian Guo Men Wai Da Jie","China World Trade Center Tower 2",,,,,CN,100004
"Lee Univ US","208 S AKARD ST",,,,DALLAS,TX,US,75202
"MCS Japan",1-2-3,,,,MINAMIAOYAMA,Tokyo,JP,1070062
